Q1,Q2,Q3,Q3_tinder,Q3_bumble,Q3_match,Q3_pof,Q3_okcupid,Q3_hinge,Q3_clover,Q3_grindr,Q3_coffeebean,Q3_meetme,Q3_eharmony,Q3_jda,Q3_aff,Q3_facebook_dating,Q3_never_used,Q5,Q5_short_term,Q5_long_term,Q5_friendship,Q5_validation,Q5_entertainment,Q5_other,Q5_never_used,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Random ID
3,1,"Tinder,Plenty of Fish",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Finding short-term romantic or sexual relationships,1,0,0,0,0,0,0,2,2,5,5,2,3,3,7,2,6,6,5,3,3,7,5,5,5,1,1,1,5,1,1,7,83547
2,1,Plenty of Fish,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,3,3,6,7,7,6,5,3,1,7,7,7,6,6,5,2,6,6,6,6,7,5,7,7,7,17119
2,0,"Tinder,Bumble,Match,Plenty of Fish,OKCupid,Grindr",1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,2,2,6,6,5,5,5,5,2,7,7,7,7,7,7,2,6,6,6,6,6,6,6,6,6,47216
3,1,Tinder,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Entertainment",1,1,0,0,1,0,0,2,3,6,5,5,4,4,2,2,7,7,7,5,5,1,1,3,2,3,3,3,1,1,1,5,33917
2,1,"Tinder,Bumble,OKCupid",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends",1,1,1,0,0,0,0,3,2,3,3,3,5,5,3,1,7,6,5,5,5,4,2,5,5,5,3,5,2,1,1,6,42654
4,1,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,5,5,3,2,1,3,3,4,1,6,6,6,4,4,3,1,3,3,3,4,4,2,1,1,1,70556
2,0,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,5,5,6,6,5,4,4,5,1,7,7,7,5,5,3,4,6,6,6,5,5,4,1,1,1,82981
3,0,Tinder,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,2,2,5,5,5,6,6,6,1,7,7,7,7,7,7,1,5,6,5,5,5,4,3,2,5,77694
2,1,"Tinder,Match,OKCupid",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,2,3,5,5,3,4,4,3,2,6,6,6,5,5,5,2,6,6,6,4,4,3,3,2,7,61988
2,0,"Match,Coffee & Bagel",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,2,3,6,5,5,5,5,5,2,5,6,5,5,5,6,2,5,6,6,5,6,5,5,6,5,43264
1,1,Plenty of Fish,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Making friends,Entertainment",1,0,1,0,1,0,0,4,3,3,6,5,6,6,7,4,5,6,5,6,5,6,4,6,5,5,6,5,6,5,6,5,27597
2,0,"Tinder,Bumble,Plenty of Fish",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends,Personal validation,Entertainment",1,1,1,1,1,0,0,3,4,6,5,5,3,3,5,1,7,7,7,6,5,5,2,6,6,7,5,5,2,6,1,6,44496
3,1,"Bumble,Match,OKCupid",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,2,2,5,6,5,4,4,5,1,6,5,6,6,6,5,3,5,5,6,5,5,4,1,1,7,43101
2,1,"Tinder,Plenty of Fish",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,2,3,5,5,5,6,6,5,2,7,7,7,6,7,7,3,5,4,5,3,4,2,2,2,6,75463
2,1,"Bumble,Match,OKCupid",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends,Personal validation",0,1,1,1,0,0,0,2,1,6,5,6,5,6,5,3,5,6,7,6,6,5,4,5,6,5,6,7,5,6,6,5,16429
2,0,"Tinder,OKCupid",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Finding short-term romantic or sexual relationships,1,0,0,0,0,0,0,3,3,6,6,5,5,5,6,1,7,6,6,4,4,2,1,6,6,5,4,4,3,2,1,2,81535
3,0,"Tinder,Match,OKCupid",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Finding short-term romantic or sexual relationships,1,0,0,0,0,0,0,2,1,5,7,6,5,5,7,3,7,7,6,6,6,6,1,3,3,2,3,2,1,2,1,3,42653
2,1,"Tinder,Match,Hinge,Coffee & Bagel",1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,2,3,5,5,4,4,4,3,2,6,6,6,5,5,3,5,5,4,5,5,4,2,5,2,6,72316
3,1,Tinder,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Finding short-term romantic or sexual relationships,1,0,0,0,0,0,0,2,3,6,6,6,5,5,3,1,7,7,7,6,5,5,1,6,6,5,6,6,2,3,1,3,31110
4,1,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,5,5,2,2,2,3,3,3,1,6,6,6,6,6,4,1,3,3,2,5,5,2,2,2,3,34508
2,1,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,5,5,6,5,4,4,4,4,1,7,7,6,4,4,5,4,6,5,5,4,4,2,1,1,6,36010
2,1,"Tinder,Match,OKCupid,Grindr",1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,1,3,6,6,5,6,6,4,2,6,5,5,6,6,5,1,2,3,2,2,2,1,5,5,4,35006
5,1,"Tinder,I have never used a dating app",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Finding short-term romantic or sexual relationships,1,0,0,0,0,0,0,2,2,5,5,5,5,5,5,1,6,6,6,6,6,5,2,5,5,5,5,5,2,2,2,2,97973
3,1,"Tinder,Bumble,Plenty of Fish,OKCupid",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,3,3,2,1,2,4,4,2,2,7,7,7,6,6,6,4,5,5,4,5,5,2,5,2,4,37612
2,0,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,5,5,4,4,3,4,4,4,2,6,6,6,4,4,4,3,4,4,4,4,4,4,4,4,4,69526
2,0,"Tinder,OKCupid",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends",0,1,1,0,0,0,0,2,3,5,7,6,2,5,3,2,5,7,6,6,4,7,3,5,4,5,7,4,7,7,5,7,36775
3,0,Tinder,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Making friends,0,0,1,0,0,0,0,3,3,7,7,7,1,1,7,1,7,7,7,1,1,5,1,7,7,7,1,1,7,5,1,5,32517
2,1,"Tinder,Bumble",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,3,4,5,5,4,4,4,1,1,7,6,6,5,5,4,2,5,5,5,5,5,1,1,1,5,40601
2,1,"Tinder,Grindr",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends",0,1,1,0,0,0,0,2,2,5,6,7,6,5,6,2,6,5,7,6,5,7,3,6,5,6,,7,6,5,6,7,86263
3,1,Tinder,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,2,3,5,5,5,5,5,5,4,6,6,6,6,6,6,6,5,5,5,5,5,5,4,3,5,24342
2,1,"Tinder,Match,OKCupid",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends",1,1,1,0,0,0,0,2,2,4,5,3,7,5,4,2,5,4,6,6,5,7,2,5,5,4,3,3,5,6,5,7,89150
5,1,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,5,5,4,4,4,1,1,1,1,5,5,5,5,6,4,1,5,5,5,4,4,2,4,2,1,84586
2,0,"Tinder,Bumble,Match",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Personal validation",0,1,0,1,0,0,0,1,3,3,2,3,2,2,2,1,7,6,5,5,5,5,4,4,5,3,3,3,4,2,1,7,65226
4,1,"Tinder,Bumble,Match,Grindr",1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Making friends",1,0,1,0,0,0,0,2,2,6,6,6,5,5,5,3,6,6,6,6,6,5,2,5,5,5,5,5,3,3,2,5,18861
2,1,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,5,5,5,5,5,4,4,4,5,6,6,6,6,6,4,5,6,6,6,6,6,4,1,1,1,85042
1,0,"Tinder,Bumble,Match,Plenty of Fish,Grindr,Other (please describe)",1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends,Personal validation,Entertainment",1,1,1,1,1,0,0,2,3,5,5,4,4,4,3,2,7,3,6,3,3,2,6,6,7,7,6,6,7,6,1,7,27035
3,0,Match,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends,Entertainment",0,1,1,0,1,0,0,2,1,7,7,7,6,6,7,1,7,7,7,6,7,6,1,7,6,5,5,6,2,2,3,2,64329
3,0,"Match,Other (please describe)",0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,"Finding long-term romantic or sexual relationships,Making friends",0,1,1,0,0,0,0,2,2,3,2,2,3,3,5,2,6,6,5,4,5,3,3,6,6,6,5,6,4,3,5,6,21658
3,0,OKCupid,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Personal validation",0,1,0,1,0,0,0,2,3,6,5,4,4,5,6,1,6,6,5,5,5,5,1,3,2,2,3,2,2,2,2,2,93335
2,1,"Tinder,Bumble,Grindr",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Making friends,Entertainment",1,0,1,0,1,0,0,3,2,5,5,3,6,5,6,1,6,5,6,5,5,2,2,5,5,6,6,7,2,2,1,6,10694
5,1,"Plenty of Fish,Other (please describe)",0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,Finding short-term romantic or sexual relationships,1,0,0,0,0,0,0,2,2,5,5,4,3,4,5,1,6,6,5,4,4,5,1,5,5,4,4,4,5,3,3,3,60818
3,1,"Bumble,Plenty of Fish,Grindr",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,Finding short-term romantic or sexual relationships,1,0,0,0,0,0,0,4,4,2,1,2,4,4,5,2,5,6,6,4,3,5,1,1,2,2,4,3,1,2,2,2,41187
4,1,"Tinder,Bumble,Match,Plenty of Fish,OKCupid,Hinge",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Making friends",1,0,1,0,0,0,0,3,4,7,7,6,5,5,4,1,7,7,7,4,4,5,4,6,6,5,3,3,2,5,1,7,63547
2,0,Tinder,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends,Personal validation,Entertainment",1,1,1,1,1,0,0,3,3,1,7,1,4,5,1,2,7,1,7,7,7,7,1,1,1,1,1,1,1,1,1,1,75665
1,0,Match,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,I have never used a dating app",0,1,0,0,0,1,0,5,5,7,7,,6,,4,4,7,6,7,6,7,6,4,7,6,7,6,7,5,,4,7,93757
3,1,"Tinder,Bumble,Match,OKCupid",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends",1,1,1,0,0,0,0,2,2,5,5,5,5,5,5,2,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,83655
1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,4,5,5,6,5,3,5,7,2,6,5,7,5,6,7,4,6,7,5,6,7,5,6,7,5,48859
3,0,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,5,5,3,4,2,2,4,5,1,6,7,7,4,6,5,1,5,5,5,3,3,4,1,5,4,41723
2,1,"Tinder,Plenty of Fish",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,2,3,,6,6,6,6,6,2,6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,12364
2,0,"Tinder,Bumble,Plenty of Fish,OKCupid",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends,Entertainment",1,1,1,0,1,0,0,3,3,7,6,7,4,4,5,1,7,7,7,3,1,1,2,7,5,5,4,5,1,1,1,4,87873
2,1,"Tinder,OKCupid",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends",0,1,1,0,0,0,0,3,4,3,3,2,2,3,3,1,6,5,6,6,7,5,1,5,6,3,2,3,2,5,2,6,17722
2,1,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,5,5,2,3,1,2,2,6,1,3,2,6,1,2,1,2,6,7,5,6,7,2,1,1,6,90261
3,1,"Tinder,OKCupid,Grindr",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends",1,1,1,0,0,0,0,2,3,5,5,5,6,6,4,2,6,6,6,6,6,5,2,6,6,6,6,6,3,3,2,6,61646
2,1,"Tinder,Bumble,Match,Plenty of Fish,OKCupid",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,2,2,6,6,5,5,6,5,3,7,6,6,5,6,5,6,7,6,6,5,6,6,3,3,6,33552
4,0,"Plenty of Fish,OKCupid",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends",0,1,1,0,0,0,0,2,3,6,7,6,3,4,5,2,7,7,6,3,4,6,3,5,5,5,3,4,5,5,1,6,90042
3,1,"Tinder,Bumble,Match,Plenty of Fish,OKCupid,Coffee & Bagel,Other (please describe)",1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,3,3,4,3,3,6,6,2,2,7,6,6,6,6,2,2,4,4,3,6,6,1,5,1,5,58743
2,1,"Tinder,Coffee & Bagel",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,2,2,5,5,4,4,4,3,3,7,7,7,6,6,6,2,3,3,2,3,3,2,3,2,5,17073
2,1,"Tinder,Bumble",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends",0,1,1,0,0,0,0,2,3,5,5,6,4,4,4,3,5,5,4,4,5,4,3,5,4,5,5,3,4,5,4,5,28718
3,1,"Match,Plenty of Fish",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,3,4,1,1,1,1,1,1,1,5,5,5,3,3,2,1,1,1,1,1,1,1,2,1,3,96831
1,1,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,5,5,3,2,2,4,4,5,1,5,6,5,4,4,4,2,3,2,4,4,4,3,3,2,4,75844
2,0,Bumble,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,2,3,3,2,2,3,2,3,3,5,6,5,5,5,6,2,3,3,5,5,3,2,3,2,6,62351
2,1,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,5,5,3,4,2,4,4,3,1,6,6,5,5,5,4,1,5,4,3,4,4,2,2,2,2,70010
2,1,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,5,5,5,5,4,4,4,3,2,7,7,7,6,6,3,1,5,5,5,5,5,1,1,1,6,96644
4,0,"Match,Plenty of Fish,OKCupid",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Entertainment",0,1,0,0,1,0,0,3,3,3,6,3,4,4,4,2,6,2,6,5,5,4,1,5,3,4,4,4,3,2,4,3,31076
2,0,Bumble,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Making friends,Entertainment",0,0,1,0,1,0,0,3,2,6,5,5,3,5,5,2,5,6,3,2,3,5,2,6,5,5,3,4,6,5,5,5,44614
4,0,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,5,5,1,1,1,1,1,1,3,7,7,7,5,5,3,2,5,5,5,3,3,1,1,1,1,53353
5,0,"OKCupid,Coffee & Bagel",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,3,4,4,3,3,3,3,3,1,6,6,6,6,6,4,1,5,5,5,4,4,2,5,2,4,64270
