Q1,Q2,Q3,Q3_tinder,Q3_bumble,Q3_match,Q3_pof,Q3_okcupid,Q3_hinge,Q3_clover,Q3_grindr,Q3_coffeebean,Q3_meetme,Q3_eharmony,Q3_jda,Q3_aff,Q3_facebook_dating,Q3_never_used,Q5,Q5_short_term,Q5_long_term,Q5_friendship,Q5_validation,Q5_entertainment,Q5_other,Q5_never_used,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Random ID
4,1,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,5,5,5,5,5,4,4,7,1,7,7,7,5,5,2,1,5,4,5,4,4,3,1,1,2,66153
3,1,"Tinder,Bumble,Match,Plenty of Fish,OKCupid",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,2,2,6,6,5,5,5,5,2,7,7,6,6,6,6,2,6,6,5,5,5,6,6,1,7,37432
3,1,Match,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Entertainment,0,0,0,0,1,0,0,3,3,1,7,1,1,1,1,1,7,1,7,1,1,5,1,1,7,1,1,1,1,1,1,1,14508
3,0,"Tinder,Match,OKCupid",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Personal validation,Entertainment",1,1,0,1,1,0,0,1,2,6,6,6,5,5,7,2,7,7,7,6,6,7,3,6,6,5,3,2,2,1,1,6,17754
2,0,Tinder,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Making friends,0,0,1,0,0,0,0,3,3,5,4,5,4,5,5,2,5,4,5,3,4,5,1,5,5,4,3,5,5,3,3,5,58020
2,0,"Tinder,Bumble,Plenty of Fish,OKCupid,Grindr",1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends",1,1,1,0,0,0,0,2,2,2,5,2,2,2,2,2,7,7,7,7,5,5,1,4,5,5,5,4,4,3,3,3,80755
2,1,"Tinder,OKCupid",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends,Entertainment",0,1,1,0,1,0,0,2,3,5,6,5,6,5,3,1,5,5,6,6,5,6,2,6,5,6,3,3,2,3,5,6,80086
2,0,"Tinder,Bumble",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends",1,1,1,0,0,0,0,2,2,5,6,5,5,5,3,3,7,5,7,7,7,5,2,3,6,5,3,5,3,2,1,5,44385
3,1,"Tinder,OKCupid",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Finding short-term romantic or sexual relationships,1,0,0,0,0,0,0,3,3,5,5,5,3,3,3,1,5,5,5,4,4,4,2,5,5,5,4,4,3,2,2,5,15949
3,0,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,5,5,5,5,5,4,5,4,2,6,6,6,4,5,5,2,5,5,5,5,5,4,2,2,6,52533
3,1,"Tinder,Match,Plenty of Fish,OKCupid",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends,Entertainment",0,1,1,0,1,0,0,2,3,5,5,5,3,3,2,2,7,7,7,4,4,2,6,5,5,5,2,2,4,2,1,7,91939
1,0,Match,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Making friends,Entertainment",0,0,1,0,1,0,0,3,5,7,6,5,6,7,7,4,7,6,7,5,7,6,4,7,6,7,7,6,7,6,7,7,98876
5,0,"Match,Plenty of Fish,Other (please describe)",0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,"Finding long-term romantic or sexual relationships,Making friends",0,1,1,0,0,0,0,2,2,5,3,4,3,5,3,1,7,7,7,4,5,3,3,5,4,5,5,5,4,3,1,5,93079
3,1,OKCupid,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,2,3,5,5,5,3,3,4,1,6,7,7,4,4,4,1,5,3,4,4,4,1,4,1,4,76364
1,0,"Tinder,OKCupid",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Making friends,Entertainment",0,0,1,0,1,0,0,1,2,6,7,6,5,6,6,1,7,6,6,6,6,7,1,6,7,6,6,6,6,7,7,6,38963
2,0,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,5,5,5,5,5,4,3,4,1,6,6,6,5,3,3,1,5,4,4,4,4,1,4,2,4,23394
2,1,"Tinder,OKCupid",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,2,3,6,7,5,5,5,5,2,7,6,6,5,5,3,3,5,4,3,3,3,2,2,1,6,69349
2,1,"Tinder,Match,Plenty of Fish,OKCupid,Grindr",1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends,Personal validation,Entertainment",1,1,1,1,1,0,0,3,1,5,6,4,5,6,6,2,5,6,5,7,6,6,2,5,6,7,5,6,7,6,5,6,52656
2,1,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,5,5,5,5,5,4,4,4,2,6,6,6,6,6,6,3,6,6,6,6,6,5,3,3,5,56395
2,0,"Tinder,Bumble,OKCupid",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Personal validation,Entertainment",1,1,0,1,1,0,0,2,3,5,5,5,4,4,5,1,7,7,7,4,4,3,1,6,6,6,4,4,3,4,1,4,56246
1,0,Tinder,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Entertainment,0,0,0,0,1,0,0,3,4,5,4,5,3,2,2,2,7,6,5,2,2,3,2,6,7,7,5,5,2,6,1,7,67712
5,1,Grindr,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,1,2,6,5,4,5,3,3,3,6,5,6,4,4,1,1,5,6,5,5,5,5,4,1,5,47720
2,1,Tinder,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Entertainment,0,0,0,0,1,0,0,2,3,6,4,5,4,6,5,2,5,6,4,4,5,5,2,3,4,5,4,6,7,2,5,4,38486
2,0,"Tinder,OKCupid",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Entertainment",1,1,0,0,1,0,0,1,3,5,5,4,6,6,6,4,6,6,5,5,6,3,1,5,5,4,4,4,2,2,4,6,60869
2,1,"Tinder,Bumble,Coffee & Bagel",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends,Entertainment",1,1,1,0,1,0,0,2,3,6,6,7,6,7,5,3,7,7,7,7,7,7,3,7,7,7,7,7,6,6,2,6,58923
2,1,"Tinder,Bumble",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Entertainment",0,1,0,0,1,0,0,1,2,4,4,3,4,4,5,2,6,6,6,6,6,4,1,4,4,4,3,3,1,2,1,4,75907
2,1,Grindr,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Making friends,Entertainment",0,0,1,0,1,0,0,2,3,5,5,2,3,4,5,2,4,5,5,4,5,6,1,6,6,6,4,5,5,4,1,3,95474
3,0,"OKCupid,Coffee & Bagel",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,2,3,6,6,4,4,4,5,1,4,4,4,4,5,5,1,4,6,6,6,6,6,3,6,4,24397
2,1,"Tinder,Bumble,Plenty of Fish",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Making friends",1,0,1,0,0,0,0,3,3,5,2,2,3,2,3,1,6,6,7,5,5,6,1,5,2,2,2,3,2,3,2,6,92286
1,0,Grindr,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends",0,1,1,0,0,0,0,2,3,6,5,6,6,5,4,2,6,5,4,6,4,6,4,6,4,5,6,5,6,4,5,6,57640
1,0,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,5,5,5,4,4,3,3,5,1,6,6,5,3,4,4,1,6,4,5,5,4,4,4,1,4,29483
5,0,"Match,Plenty of Fish",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends,Entertainment",0,1,1,0,1,0,0,2,1,3,5,5,4,4,6,2,6,6,6,5,5,5,2,4,5,5,3,3,4,5,2,6,18567
3,1,"Tinder,Bumble,Match,Plenty of Fish,OKCupid",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,3,3,3,5,3,4,2,2,2,6,5,5,4,4,5,3,5,5,5,4,5,3,6,2,7,93310
4,1,"Match,Plenty of Fish,Other (please describe)",0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends",1,1,1,0,0,0,0,2,3,5,5,3,5,5,3,2,6,6,6,6,6,5,1,3,5,3,5,5,3,5,3,5,59570
3,1,"Tinder,Match,Plenty of Fish,OKCupid",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,2,3,5,5,5,4,4,3,1,6,6,6,5,5,4,1,5,5,5,5,5,2,5,1,5,63181
2,0,"Tinder,Plenty of Fish,Grindr",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends",1,1,1,0,0,0,0,2,2,6,7,5,4,5,7,2,7,7,6,5,6,6,4,5,6,5,5,4,2,4,1,6,82023
4,1,"Tinder,Match",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends",0,1,1,0,0,0,0,2,3,6,5,6,6,5,3,3,7,6,7,6,6,6,1,5,3,5,3,3,2,5,1,6,28139
2,0,"Tinder,Plenty of Fish,OKCupid",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Making friends,Entertainment",1,0,1,0,1,0,0,2,3,5,6,6,5,5,5,1,7,7,7,6,6,6,1,5,5,5,5,5,4,7,1,7,99685
2,1,"Tinder,Coffee & Bagel",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,3,3,5,5,5,5,5,5,1,6,5,5,3,3,5,1,5,5,5,2,2,2,2,2,5,17109
3,1,Match,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Personal validation,Entertainment",1,1,0,1,1,0,0,1,1,7,7,7,5,6,7,2,7,6,6,5,5,4,2,7,7,7,6,6,7,7,2,7,34041
2,1,Plenty of Fish,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,2,3,5,4,4,4,4,4,2,6,6,6,5,5,4,5,5,5,5,4,4,4,4,2,5,35478
3,1,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,5,5,2,3,1,3,3,4,1,7,7,5,4,4,3,5,2,5,3,3,3,1,4,1,5,57545
4,0,"Match,OKCupid",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends",0,1,1,0,0,0,0,2,3,4,4,3,4,4,2,1,6,6,6,4,4,4,2,6,5,4,4,4,2,2,2,6,61954
4,0,"Tinder,Plenty of Fish,OKCupid",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Making friends",1,0,1,0,0,0,0,1,2,6,5,6,6,6,6,3,6,6,6,5,5,7,3,6,5,5,5,6,7,6,3,3,52661
2,1,"Tinder,Plenty of Fish,OKCupid",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Entertainment",1,1,0,0,1,0,0,2,2,5,3,5,6,6,7,2,7,1,7,6,6,5,3,5,3,5,6,6,3,7,1,7,72121
2,0,"Tinder,Match,OKCupid",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,2,3,5,3,3,2,2,2,1,6,6,6,3,5,5,1,5,3,3,2,3,2,1,1,4,77207
3,1,"Tinder,OKCupid,Grindr",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,2,3,5,5,5,5,5,4,2,7,7,7,7,7,4,2,6,6,6,5,5,3,5,1,5,26337
2,0,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,5,5,5,5,5,5,5,5,1,7,7,7,7,7,7,2,5,5,5,5,5,3,4,2,7,70931
2,1,"Tinder,Match,Plenty of Fish,OKCupid,Coffee & Bagel",1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends",1,1,1,0,0,0,0,2,2,2,5,3,7,6,4,2,7,5,6,6,7,5,2,6,4,4,5,4,2,7,6,6,20166
5,0,"Match,Plenty of Fish,OKCupid",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends,Entertainment",0,1,1,0,1,0,0,3,3,5,5,5,3,5,6,1,7,7,7,6,6,2,1,5,5,5,2,3,6,2,2,2,95238
2,1,"Tinder,OKCupid",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Entertainment",1,0,0,0,1,0,0,1,2,5,5,5,5,5,6,2,7,7,7,6,6,6,3,6,6,6,6,6,6,1,1,5,23854
1,0,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,5,5,3,3,2,3,5,5,4,7,6,7,6,6,3,6,6,5,5,5,5,2,1,1,7,56980
2,0,"Tinder,Plenty of Fish",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends",1,1,1,0,0,0,0,2,3,2,5,2,2,2,5,1,6,6,5,2,2,2,2,4,5,3,2,2,2,5,2,6,12254
2,1,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,5,5,6,6,6,4,4,5,1,7,7,7,6,6,3,3,5,5,5,3,3,1,1,1,2,33784
2,1,"Tinder,Bumble",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Entertainment",1,1,0,0,1,0,0,2,3,3,4,4,4,3,2,1,7,1,5,4,4,4,2,3,3,3,4,4,1,1,1,1,63878
1,0,"Tinder,Bumble",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends",0,1,1,0,0,0,0,2,2,4,3,5,6,6,4,2,5,5,4,4,5,4,1,5,4,4,4,4,4,3,3,4,64978
2,1,Match,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,1,2,5,2,6,2,2,5,1,5,4,2,2,6,4,1,5,,3,3,6,2,2,2,5,48772
2,1,"Tinder,Bumble,Match,Plenty of Fish,Hinge",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,2,2,6,6,5,5,5,4,3,6,6,7,6,6,4,2,4,3,4,5,5,2,2,2,7,72367
2,1,"Tinder,Match,OKCupid",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Entertainment",1,0,0,0,1,0,0,3,2,5,3,3,4,3,4,2,5,3,5,3,3,4,2,5,3,3,4,3,5,3,,6,14099
2,1,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,5,5,4,4,4,4,4,5,2,6,6,6,6,6,5,2,5,5,5,5,5,5,1,4,5,49614
2,1,"Tinder,Bumble,Match,Plenty of Fish,OKCupid,Hinge,Grindr,Coffee & Bagel",1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends,Entertainment",0,1,1,0,1,0,0,3,2,5,6,6,4,5,4,2,7,7,7,5,5,1,2,5,5,5,4,4,1,7,1,7,27333
3,0,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,5,5,5,5,5,3,3,3,1,7,6,6,6,6,2,1,5,5,3,5,5,2,1,1,7,28585
3,1,"Tinder,Bumble,Plenty of Fish,OKCupid",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,2,2,5,6,4,4,5,6,2,6,6,6,4,4,5,1,4,4,5,4,4,5,2,2,2,11563
1,0,Grindr,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends,I have never used a dating app",0,1,1,0,0,1,0,1,1,6,7,4,5,6,5,2,6,6,5,6,6,5,4,6,5,6,5,7,5,4,6,7,91682
4,1,"Tinder,OKCupid,Grindr",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Finding short-term romantic or sexual relationships,1,0,0,0,0,0,0,2,1,3,5,3,3,3,5,3,6,5,5,3,3,3,4,3,3,3,4,4,5,2,2,2,21499
1,0,Coffee & Bagel,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Personal validation,0,0,0,1,0,0,0,2,3,1,4,5,4,5,7,2,5,4,5,6,5,6,2,5,6,5,4,5,6,5,6,5,21687
2,0,"Tinder,Plenty of Fish,OKCupid,Hinge",1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends,Entertainment",1,1,1,0,1,0,0,2,3,5,4,4,4,4,5,1,7,7,6,5,5,6,2,6,5,4,3,6,4,3,1,7,82685
