Q1,Q2,Q3,Q3_tinder,Q3_bumble,Q3_match,Q3_pof,Q3_okcupid,Q3_hinge,Q3_clover,Q3_grindr,Q3_coffeebean,Q3_meetme,Q3_eharmony,Q3_jda,Q3_aff,Q3_facebook_dating,Q3_never_used,Q5,Q5_short_term,Q5_long_term,Q5_friendship,Q5_validation,Q5_entertainment,Q5_other,Q5_never_used,Q6,Q7,Q13,Q20,Q27,Q28,Q29,Q30,Random ID
25-34,Woman,"Tinder,Plenty of Fish,Grindr",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends",1,1,1,0,0,0,0,Occasionally,Occasionally,7,6,2,4,1,6,82023
45-54,Man,"Tinder,Match",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends",0,1,1,0,0,0,0,Occasionally,Rarely,3,6,2,5,1,6,28139
25-34,Woman,"Tinder,Plenty of Fish,OKCupid",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Making friends,Entertainment",1,0,1,0,1,0,0,Occasionally,Rarely,5,6,4,7,1,7,99685
25-34,Man,"Tinder,Coffee & Bagel",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,Rarely,Rarely,5,5,2,2,2,5,17109
35-44,Man,Match,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Personal validation,Entertainment",1,1,0,1,1,0,0,Often,Often,7,4,7,7,2,7,34041
25-34,Man,Plenty of Fish,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,Occasionally,Rarely,4,4,4,4,2,5,35478
35-44,Man,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,Never,Never,4,3,1,4,1,5,57545
45-54,Woman,"Match,OKCupid",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends",0,1,1,0,0,0,0,Occasionally,Rarely,2,4,2,2,2,6,61954
45-54,Woman,"Tinder,Plenty of Fish,OKCupid",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Making friends",1,0,1,0,0,0,0,Often,Occasionally,6,7,7,6,3,3,52661
25-34,Man,"Tinder,Plenty of Fish,OKCupid",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Entertainment",1,1,0,0,1,0,0,Occasionally,Occasionally,7,5,3,7,1,7,72121
25-34,Woman,"Tinder,Match,OKCupid",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,Occasionally,Rarely,2,5,2,1,1,4,77207
35-44,Man,"Tinder,OKCupid,Grindr",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,Occasionally,Rarely,4,4,3,5,1,5,26337
25-34,Woman,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,Never,Never,5,7,3,4,2,7,70931
25-34,Man,"Tinder,Match,Plenty of Fish,OKCupid,Coffee & Bagel",1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends",1,1,1,0,0,0,0,Occasionally,Occasionally,4,5,2,7,6,6,20166
Over 55,Woman,"Match,Plenty of Fish,OKCupid",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends,Entertainment",0,1,1,0,1,0,0,Rarely,Rarely,6,2,6,2,2,2,95238
25-34,Man,"Tinder,OKCupid",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Entertainment",1,0,0,0,1,0,0,Often,Occasionally,6,6,6,1,1,5,23854
18-24,Woman,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,Never,Never,5,3,2,1,1,7,56980
25-34,Woman,"Tinder,Plenty of Fish",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends",1,1,1,0,0,0,0,Occasionally,Rarely,5,2,2,5,2,6,12254
25-34,Man,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,Never,Never,5,3,1,1,1,2,33784
25-34,Man,"Tinder,Bumble",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Entertainment",1,1,0,0,1,0,0,Occasionally,Rarely,2,4,1,1,1,1,63878
18-24,Woman,"Tinder,Bumble",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends",0,1,1,0,0,0,0,Occasionally,Occasionally,4,4,4,3,3,4,64978
25-34,Man,Match,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,Often,Occasionally,5,4,2,2,2,5,48772
25-34,Man,"Tinder,Bumble,Match,Plenty of Fish,Hinge",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,Occasionally,Occasionally,4,4,2,2,2,7,72367
25-34,Man,"Tinder,Match,OKCupid",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Entertainment",1,0,0,0,1,0,0,Rarely,Occasionally,4,4,5,3,,6,14099
25-34,Man,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,Never,Never,5,5,5,1,4,5,49614
25-34,Man,"Tinder,Bumble,Match,Plenty of Fish,OKCupid,Hinge,Grindr,Coffee & Bagel",1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends,Entertainment",0,1,1,0,1,0,0,Rarely,Occasionally,4,1,1,7,1,7,27333
35-44,Woman,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,Never,Never,3,2,2,1,1,7,28585
35-44,Man,"Tinder,Bumble,Plenty of Fish,OKCupid",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,Occasionally,Occasionally,6,5,5,2,2,2,11563
18-24,Woman,Grindr,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends,I have never used a dating app",0,1,1,0,0,1,0,Often,Often,5,5,5,4,6,7,91682
45-54,Man,"Tinder,OKCupid,Grindr",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Finding short-term romantic or sexual relationships,1,0,0,0,0,0,0,Occasionally,Often,5,3,5,2,2,2,21499
18-24,Woman,Coffee & Bagel,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Personal validation,0,0,0,1,0,0,0,Occasionally,Rarely,7,6,6,5,6,5,21687
25-34,Woman,"Tinder,Plenty of Fish,OKCupid,Hinge",1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends,Entertainment",1,1,1,0,1,0,0,Occasionally,Rarely,5,6,4,3,1,7,82685
35-44,Man,Match,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends,Entertainment",1,1,1,0,1,0,0,Occasionally,Rarely,3,4,1,5,1,4,79276
45-54,Man,"Bumble,Match,Plenty of Fish,OKCupid,Hinge",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Other",0,1,0,0,0,0,1,Occasionally,Never,1,2,2,2,2,2,94590
18-24,Woman,Hinge,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Personal validation,Entertainment",0,0,0,1,1,0,0,Rarely,Never,3,2,3,2,1,5,53618
35-44,Man,"Match,Plenty of Fish,OKCupid",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,Occasionally,Occasionally,3,4,2,4,1,4,44420
35-44,Man,"Tinder,Match",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Making friends",1,0,1,0,0,0,0,Often,Occasionally,7,5,5,7,3,6,40862
35-44,Man,"Tinder,Match,Plenty of Fish,OKCupid",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,Often,Occasionally,4,3,1,1,1,5,47616
25-34,Woman,"Match,Plenty of Fish",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,Rarely,Rarely,3,3,2,2,1,6,65108
25-34,Woman,"Tinder,OKCupid,Hinge",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Personal validation,Entertainment",1,1,0,1,1,0,0,Occasionally,Occasionally,5,3,3,2,2,6,18761
18-24,Man,Tinder,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends,Entertainment",1,1,1,0,1,0,0,Occasionally,Rarely,5,4,5,5,5,4,41641
35-44,Man,"Match,OKCupid",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,Often,Occasionally,5,2,4,4,1,5,11547
35-44,Man,"Tinder,Plenty of Fish,OKCupid",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,Occasionally,Occasionally,5,6,3,4,2,2,70793
25-34,Man,"Tinder,Hinge,Coffee & Bagel",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,Occasionally,Occasionally,5,2,1,1,1,6,91592
25-34,Woman,"Tinder,Bumble,Match,Plenty of Fish,OKCupid",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends",1,1,1,0,0,0,0,Occasionally,Occasionally,6,7,6,7,1,6,30265
25-34,Man,"Tinder,OKCupid,Grindr",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends,Entertainment",1,1,1,0,1,0,0,Occasionally,Rarely,4,2,4,1,1,1,59537
18-24,Woman,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,Never,Never,4,7,5,1,1,5,51081
25-34,Man,"Tinder,Match",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Entertainment,0,0,0,0,1,0,0,Rarely,Never,2,2,2,2,2,4,24087
45-54,Woman,"Tinder,OKCupid",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,Rarely,Never,3,6,2,2,1,6,98236
25-34,Man,Grindr,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Making friends",1,0,1,0,0,0,0,Occasionally,Rarely,5,6,5,2,2,5,65543
45-54,Man,Match,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends",0,1,1,0,0,0,0,Occasionally,Occasionally,5,3,2,3,1,5,58937
25-34,Man,Tinder,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,Occasionally,Rarely,5,3,4,5,5,6,22668
Over 55,Woman,Match,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,Never,Never,2,2,2,1,1,5,82087
Over 55,Man,"Tinder,Hinge,Grindr",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Making friends,Entertainment",1,0,1,0,1,0,0,Rarely,Occasionally,2,4,3,4,2,3,13410
25-34,Man,"Tinder,Bumble,Plenty of Fish,OKCupid,Grindr",1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends,Entertainment",1,1,1,0,1,0,0,Rarely,Never,6,7,5,7,5,5,75853
18-24,Woman,OKCupid,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,Never,Never,5,3,1,1,1,1,66679
18-24,Woman,"Tinder,OKCupid",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends,Entertainment",1,1,1,0,1,0,0,Often,Occasionally,6,5,2,6,3,6,43960
45-54,Woman,"Tinder,Bumble",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Making friends,0,0,1,0,0,0,0,Rarely,Occasionally,4,5,6,3,6,6,56785
25-34,Man,"Tinder,Plenty of Fish",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Making friends,Entertainment",1,0,1,0,1,0,0,Rarely,Rarely,3,1,2,5,5,4,21289
25-34,Man,"Tinder,Bumble,Plenty of Fish,OKCupid",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,Finding short-term romantic or sexual relationships,1,0,0,0,0,0,0,Never,Never,1,2,1,1,1,1,46451
35-44,Woman,"Match,Plenty of Fish",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,Occasionally,Occasionally,3,4,4,5,4,5,10261
25-34,Man,Tinder,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Entertainment",1,0,0,0,1,0,0,Occasionally,Rarely,7,7,5,1,1,7,97653
18-24,Man,"Tinder,Plenty of Fish,Hinge",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Making friends,Entertainment",0,0,1,0,1,0,0,Rarely,Never,2,4,1,5,1,7,23002
18-24,Woman,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,Never,Never,4,3,2,4,1,5,52659
25-34,Woman,"Tinder,Bumble",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends,Personal validation,Entertainment",1,1,1,1,1,0,0,Occasionally,Occasionally,6,1,6,4,4,6,61798
35-44,Man,"Tinder,Bumble,Plenty of Fish,OKCupid",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends,Entertainment",1,1,1,0,1,0,0,Rarely,Rarely,6,3,5,2,2,2,16838
25-34,Man,Clover,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Making friends,0,0,1,0,0,0,0,Rarely,Occasionally,5,4,5,6,3,5,89342
35-44,Man,Match,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,Occasionally,Occasionally,3,5,3,3,2,5,66668
35-44,Prefer not to disclose,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,Never,Never,3,3,3,2,2,2,93867
25-34,Man,Tinder,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,Rarely,Rarely,7,6,1,1,1,6,68028
35-44,Man,"Tinder,Bumble,Match,Plenty of Fish",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,Occasionally,Rarely,6,3,1,4,2,2,49820
25-34,Man,"Tinder,OKCupid,Hinge,Grindr",1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,Occasionally,Rarely,2,2,1,6,1,2,90601
18-24,Man,"Tinder,Match",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends",0,1,1,0,0,0,0,Occasionally,Occasionally,7,7,7,5,5,5,69553
18-24,Man,"Tinder,Bumble",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Personal validation,Entertainment",1,0,0,1,1,0,0,Occasionally,Occasionally,4,4,4,5,3,4,52470
18-24,Man,"Tinder,Bumble,Match,Clover",1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,Often,Rarely,1,5,1,1,1,6,67310
25-34,Man,"Tinder,Match,Plenty of Fish",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Making friends",1,0,1,0,0,0,0,Rarely,Rarely,6,6,5,6,3,6,27352
25-34,Man,Tinder,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,Occasionally,Rarely,2,5,1,5,2,7,48118
25-34,Woman,"Tinder,Bumble,Match,Plenty of Fish,OKCupid,Hinge",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends",0,1,1,0,0,0,0,Often,Occasionally,5,5,5,5,5,5,30329
25-34,Woman,Tinder,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends",1,1,1,0,0,0,0,Occasionally,Occasionally,4,3,2,6,6,6,76570
25-34,Man,"Tinder,Grindr",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Making friends,Personal validation,Entertainment",1,0,1,1,1,0,0,Occasionally,Occasionally,5,3,4,6,2,6,26190
25-34,Man,"Match,Coffee & Bagel",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Entertainment",1,1,0,0,1,0,0,Rarely,Never,5,5,5,4,5,6,97871
25-34,Man,"Tinder,Match,Plenty of Fish",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,Occasionally,Occasionally,2,4,2,2,1,5,16241
35-44,Woman,"Tinder,Bumble,Match,Plenty of Fish,OKCupid,Hinge",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,Occasionally,Rarely,2,1,1,2,1,6,44060
18-24,Woman,"Tinder,Bumble,Hinge",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Entertainment",1,0,0,0,1,0,0,Occasionally,Occasionally,5,5,4,1,1,2,82655
35-44,Man,"OKCupid,Other (please describe)",0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,Rarely,Rarely,2,4,6,1,1,5,84796
35-44,Man,"Tinder,Plenty of Fish,OKCupid,Grindr",1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,Occasionally,Occasionally,7,7,6,2,1,5,98179
25-34,Woman,"Tinder,Bumble,Other (please describe)",1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,"Finding long-term romantic or sexual relationships,Making friends,Personal validation",0,1,1,1,0,0,0,Often,Rarely,7,6,2,6,1,5,84147
25-34,Man,"Tinder,Plenty of Fish,OKCupid",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Entertainment,0,0,0,0,1,0,0,Rarely,Never,3,5,3,3,5,5,66431
25-34,Woman,Plenty of Fish,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,Rarely,Rarely,5,3,3,6,4,6,29441
35-44,Man,"Match,Plenty of Fish",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Finding long-term romantic or sexual relationships,Making friends,Entertainment",0,1,1,0,1,0,0,Rarely,Rarely,3,5,2,3,1,5,54453
25-34,Man,"Tinder,Plenty of Fish,OKCupid",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,Occasionally,Occasionally,6,5,4,4,5,5,82035
18-24,Woman,Plenty of Fish,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Making friends,Entertainment",0,0,1,0,1,0,0,Rarely,Occasionally,4,4,4,2,3,2,48976
25-34,Woman,Coffee & Bagel,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends,Personal validation,Entertainment,Other,I have never used a dating app",1,1,1,1,1,1,1,Occasionally,Occasionally,5,5,6,5,6,5,33614
35-44,Woman,Match,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,Occasionally,Rarely,5,2,1,5,2,3,89391
35-44,Man,Tinder,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends,Entertainment",1,1,1,0,1,0,0,Occasionally,Occasionally,5,5,4,4,2,5,56346
45-54,Woman,"Tinder,Match,Plenty of Fish",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends",1,1,1,0,0,0,0,Often,Occasionally,5,6,5,5,3,6,64287
18-24,Woman,"Tinder,Bumble",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,Occasionally,Rarely,3,6,5,4,4,4,37544
25-34,Man,"Tinder,Bumble,Match,Plenty of Fish,OKCupid,Hinge,Coffee & Bagel",1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,Rarely,Rarely,1,1,1,3,1,5,30820
